index,name,artist,release_date,length,popularity,danceability
356,Break on Through (To the Other Side),The Doors,1967,2.4311,72,0.421
357,Longview,Green Day,1994,3.887333333,67,0.381
358,Billie Jean,Michael Jackson,1982,4.8971,83,0.92
359,Zombie,The Cranberries,1994,5.1071,81,0.307
360,Boys Don't Cry,The Cure,1979,2.59955,74,0.462
361,What I Got,Sublime,1996,2.848433333,72,0.804
362,Here Comes The Sun - Remastered 2009,The Beatles,1969,3.09555,82,0.557
363,Do You Feel Like We Do,Peter Frampton,1996,13.91443333,52,0.314
364,Piano Man,Billy Joel,1973,5.65,76,0.331
365,Glycerine - Remastered,Bush,1994,4.44155,63,0.421
366,D'yer Mak'er - Remaster,Led Zeppelin,1973,4.379133333,63,0.525
367,Island In The Sun,Weezer,2001,3.338433333,76,0.654
368,Run to the Hills - 2015 Remaster,Iron Maiden,1982,3.891766667,60,0.249
369,Roundabout - 2003 Remaster,Yes,1971,8.50955,66,0.41
370,Aerials,System Of A Down,2001,3.91755,74,0.364
371,About A Girl,Nirvana,2002,2.777333333,70,0.409
372,When You Were Young,The Killers,2006,3.673766667,76,0.467
373,Brain Damage / Eclipse,Vitamin String Quartet,2003,5.20555,3,0.184
374,When Doves Cry,Prince,1984,5.881766667,71,0.729
375,Cinnamon Girl,The Crazy Horses,2013,2.89,0,0.581
376,Us and Them,Pink Floyd,1973,7.8204,65,0.356
377,Foreplay / Long Time,Boston,1976,7.794,65,0.436
378,Dreams,Fleetwood Mac,1988,4.240883333,74,0.823
379,Psycho Killer - 2005 Remaster,Talking Heads,1977,4.356883333,74,0.721
380,Subterranean Homesick Blues,Bob Dylan,1965,2.354883333,57,0.576
381,Alive - 2006 Remaster,P.O.D.,2006,3.394883333,57,0.409
382,I Can See For Miles,The Who,1967,4.143633333,52,0.346
383,Panama - 2015 Remaster,Van Halen,1984,3.503766667,74,0.527
384,Just like Heaven,The Cure,1987,3.533333333,66,0.43
385,Hot for Teacher - 2015 Remaster,Van Halen,1984,4.712433333,70,0.551
386,Spoonman,Soundgarden,1994,4.115333333,68,0.457
387,Tush - 2006 Remaster,ZZ Top,1975,2.298883333,66,0.58
388,Feel Good Inc.,Gorillaz,2005,3.710666667,81,0.818
389,Eight Miles High,The Byrds,1966,3.577333333,55,0.364
390,Hurricane,Bob Dylan,1976,8.54555,71,0.509
391,Your Song,Elton John,1970,4.029766667,77,0.554
392,Oye Como Va,Santana,1970,4.282216667,66,0.736
393,Janie's Got A Gun,Aerosmith,1994,5.493766667,58,0.631
